Arup

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 04/12/2014 13:36:00

GSA 8.7.0.36 64-bit Copyright © Oasys 1985-2014

Beam Derived Stresses
Stresses are calculated only for elements that have unmodified Area, Iyy and Izz or for which
the 'Stress Calc. Basis' is specified as 'Section'.
The 'Stress Calc. Basis' is reported only for sections that have modified Area, Iyy or Izz.

+ve stresses:  tensile

SEy and SEz are the maximum elastic shear stresses.  (Refer to the GSA manual for details.)

Torsional stress:  St = Mxx/Ct
- where Ct is the 'torsion modulus'.  (Refer to the GSA manual for details.)

Von Mises stress:  This is calculated assuming the maximum through thickness stress and torsional stress coexist.
In most cases this is an over-estimate of the von Mises stress.

Case list:  C3 : ULS3

START_TABLE Beam Derived Stresses
Elem	Case	Stress Calc. Basis	Pos	SEy	SEz	St	Von Mises
				[Pa]	[Pa]	[Pa]	[Pa]
			493	-2.449E+6	-442200.	512500.	90.68E+6
153	C3		493	3.302E+6	-2.871E+6	-1.100E+6	32.44E+6
			514	3.302E+6	-2.871E+6	-1.100E+6	28.85E+6
154	C3		493	-2.461E+6	3.783E+6	588100.	105.9E+6
			494	-2.461E+6	3.783E+6	588100.	74.20E+6
156	C3		494	3.066E+6	-648800.	-1.351E+6	20.65E+6
			515	3.066E+6	-648800.	-1.351E+6	14.09E+6
157	C3		494	-2.241E+6	10.24E+6	1.290E+6	128.8E+6
			495	-2.241E+6	10.24E+6	1.290E+6	83.80E+6
159	C3		495	2.584E+6	1.425E+6	-2.271E+6	19.52E+6
			516	2.584E+6	1.425E+6	-2.271E+6	27.26E+6
160	C3		495	-1.647E+6	17.91E+6	3.009E+6	148.0E+6
			496	-1.647E+6	17.91E+6	3.009E+6	105.9E+6
162	C3		496	1.774E+6	5.569E+6	-4.545E+6	39.45E+6
			517	1.774E+6	5.569E+6	-4.545E+6	53.97E+6
163	C3		496	-669700.	25.62E+6	6.167E+6	157.3E+6
			497	-669700.	25.62E+6	6.167E+6	125.4E+6
165	C3		497	687500.	13.71E+6	-8.780E+6	81.18E+6
			518	687500.	13.71E+6	-8.780E+6	102.8E+6
166	C3		497	597700.	31.23E+6	10.33E+6	155.8E+6
			498	597700.	31.23E+6	10.33E+6	145.7E+6
168	C3		498	-328900.	28.10E+6	-13.92E+6	167.6E+6
			519	-328900.	28.10E+6	-13.92E+6	176.2E+6
169	C3		498	1.637E+6	29.65E+6	11.80E+6	156.7E+6
			499	1.637E+6	29.65E+6	11.80E+6	182.2E+6
171	C3		499	830300.	43.85E+6	-10.60E+6	261.2E+6
			520	830300.	43.85E+6	-10.60E+6	239.2E+6
172	C3		499	-1.816E+6	18.31E+6	6.377E+6	95.27E+6
			500	-1.816E+6	18.31E+6	6.377E+6	174.5E+6
174	C3		500	6.362E+6	69.11E+6	5.380E+6	368.9E+6
			521	6.362E+6	69.11E+6	5.380E+6	401.4E+6
175	C3		500	-9.760E+6	-11.62E+6	-11.35E+6	178.7E+6
			501	-9.760E+6	-11.62E+6	-11.35E+6	105.4E+6
177	C3		501	11.70E+6	38.39E+6	15.00E+6	274.3E+6
			522	11.70E+6	38.39E+6	15.00E+6	259.2E+6
178	C3		501	-11.84E+6	-19.13E+6	-13.81E+6	178.8E+6
			502	-11.84E+6	-19.13E+6	-13.81E+6	163.8E+6
180	C3		502	11.46E+6	21.89E+6	15.10E+6	179.7E+6
			523	11.46E+6	21.89E+6	15.10E+6	187.2E+6
181	C3		502	-9.157E+6	-17.33E+6	-11.15E+6	125.8E+6
			503	-9.157E+6	-17.33E+6	-11.15E+6	145.5E+6
183	C3		503	8.951E+6	9.078E+6	10.28E+6	93.93E+6
			524	8.951E+6	9.078E+6	10.28E+6	110.1E+6
184	C3		503	-6.576E+6	-9.768E+6	-6.841E+6	61.72E+6
			504	-6.576E+6	-9.768E+6	-6.841E+6	94.58E+6
186	C3		504	5.170E+6	616500.	6.993E+6	46.55E+6
			525	5.170E+6	616500.	6.993E+6	49.95E+6
188	C3		505	2.284E+6	-25.18E+6	1.588E+6	128.9E+6
			526	2.284E+6	-25.18E+6	1.588E+6	134.9E+6
189	C3		505	-6.767E+6	2.114E+6	-3.193E+6	44.11E+6
			506	-6.767E+6	2.114E+6	-3.193E+6	40.71E+6
191	C3		506	2.338E+6	-28.20E+6	3.557E+6	134.5E+6
			527	2.338E+6	-28.20E+6	3.557E+6	144.2E+6
192	C3		506	-1.701E+6	6.313E+6	-9.134E+6	33.07E+6
			507	-1.701E+6	6.313E+6	-9.134E+6	64.15E+6
194	C3		507	2.960E+6	-29.34E+6	-1.501E+6	126.4E+6
			528	2.960E+6	-29.34E+6	-1.501E+6	178.3E+6
195	C3		507	-9.820E+6	-26.30E+6	11.40E+6	192.5E+6
			508	-9.820E+6	-26.30E+6	11.40E+6	137.9E+6
197	C3		508	4.330E+6	-23.47E+6	-8.146E+6	127.8E+6
			529	4.330E+6	-23.47E+6	-8.146E+6	149.8E+6
198	C3		508	-4.286E+6	-24.59E+6	8.227E+6	134.0E+6
			509	-4.286E+6	-24.59E+6	8.227E+6	154.7E+6
200	C3		509	2.700E+6	-15.01E+6	-5.993E+6	93.04E+6
			530	2.700E+6	-15.01E+6	-5.993E+6	103.1E+6
201	C3		509	-3.004E+6	-18.24E+6	4.573E+6	109.6E+6
			510	-3.004E+6	-18.24E+6	4.573E+6	141.5E+6
203	C3		510	2.441E+6	-10.46E+6	-3.711E+6	72.51E+6
			531	2.441E+6	-10.46E+6	-3.711E+6	80.32E+6
204	C3		510	-2.889E+6	-13.13E+6	2.694E+6	97.57E+6
			511	-2.889E+6	-13.13E+6	2.694E+6	131.2E+6
206	C3		511	2.837E+6	-8.067E+6	-2.324E+6	61.94E+6
			532	2.837E+6	-8.067E+6	-2.324E+6	68.74E+6
207	C3		511	-3.185E+6	-8.858E+6	1.542E+6	88.32E+6
			512	-3.185E+6	-8.858E+6	1.542E+6	123.3E+6
209	C3		512	3.397E+6	-6.428E+6	-1.422E+6	54.76E+6
			533	3.397E+6	-6.428E+6	-1.422E+6	59.95E+6
210	C3		512	-3.536E+6	-4.861E+6	737000.	77.46E+6
			513	-3.536E+6	-4.861E+6	737000.	114.3E+6
212	C3		513	3.920E+6	-5.104E+6	-771800.	48.74E+6
			534	3.920E+6	-5.104E+6	-771800.	51.55E+6
213	C3		513	-3.811E+6	-844100.	224600.	95.85E+6
			514	-3.811E+6	-844100.	224600.	102.3E+6
